jenis_kelamin,usia,tinggi_cm,berat_kg,level_aktivitas,target_user,akg_energi_kkal,akg_protein_g,akg_lemak_total_g,akg_karbohidrat_g
Perempuan,17,165.0,67.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,185.5,114.77484,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,170.6,93.348843,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,16,161.7,67.913561,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,174.3,85.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,16,165.0,85.583485,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,178.6,95.277392,aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,159.0,40.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,180.8,152.567671,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,145.6,55.523481,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,174.2,133.017105,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,174.6,133.554686,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,172.0,85.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,160.4,65.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,175.9,85.050558,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,170.0,83.414072,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,163.5,85.803809,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,149.9,55.376512,tidak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,19,166.3,77.473204,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,183.7,95.952027,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,180.8,91.363293,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,170.7,85.743727,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,179.3,89.909259,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,170.0,81.108599,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,25,182.7,120.996074,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,175.4,117.384745,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,25,168.9,78.434492,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,171.5,85.137113,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,26,170.0,78.041338,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,19,170.0,78.0,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,182.6,120.860386,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,180.7,105.696358,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,176.9,105.000576,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,161.6,82.582954,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,161.9,81.281578,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,162.3,82.851318,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,163.3,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,179.2,89.998729,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,178.5,89.836692,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,170.0,80.473587,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,177.4,116.160329,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,167.2,80.939733,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,179.3,116.102615,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,170.0,84.849349,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,168.1,80.037202,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,27,170.0,78.008388,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,24,170.0,80.420434,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,172.1,83.986714,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,169.4,80.311273,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,180.0,89.98168,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,20,158.9,72.713611,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,171.9,86.319887,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,20,153.0,68.85097,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,172.6,82.480214,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,155.7,71.788181,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,178.6,89.802492,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,172.3,82.338464,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,171.9,80.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,173.9,133.346641,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,165.8,80.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,178.6,105.055686,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,174.2,105.028665,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,180.3,106.329569,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,177.5,105.966894,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,165.0,80.0,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,185.0,122.333425,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,178.2,104.97003,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,168.5,81.022119,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,150.9,64.852953,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,175.5,119.087557,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,22,149.1,62.269912,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,21,152.1,67.083121,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,19,174.5,87.27989,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,25,150.5,63.715219,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,28,150.5,63.892071,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,178.1,102.921218,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,179.0,106.320686,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,20,152.9,65.140408,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,181.9,105.496975,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,188.3,117.468516,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,185.0,121.786485,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,187.9,112.932984,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,175.9,87.861431,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,193.1,118.20313,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,184.2,122.024954,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,28,190.9,128.828122,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,173.5,83.337721,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,27,177.3,118.154345,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,184.9,121.414744,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,176.3,88.532032,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,29,170.0,78.0,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,163.4,77.858532,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,27,183.5,97.58826,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,185.7,95.887056,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,177.4,116.160329,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,177.4,90.0,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,29,170.0,78.0,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,25,170.9,83.520113,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,28,170.4,101.634313,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,28,165.8,78.0,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,28,179.3,112.725005,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,158.8,73.939268,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,28,182.6,120.860386,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,188.6,121.253083,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,182.4,96.945262,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,175.6,112.256165,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,19,170.0,79.67793,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,167.7,80.379575,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,171.8,81.92991,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,148.6,60.117993,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,25,150.3,64.342459,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,171.9,81.66995,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,20,165.3,75.090439,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,25,178.8,115.127662,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,173.2,84.557797,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,161.3,98.490766,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,178.5,104.187314,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,186.1,115.39792,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,156.2,70.442775,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,19,171.4,96.568814,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,25,175.7,117.298233,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,22,148.3,62.894283,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,21,151.8,64.696248,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,24,157.8,65.293179,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,165.0,80.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,171.7,80.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,29,180.1,108.15619,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,171.7,80.005809,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,29,166.6,98.66176,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,28,182.9,107.10819,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,166.4,80.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,21,154.7,67.473282,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,170.5,80.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,175.9,89.673648,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,165.3,93.310284,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,166.1,90.744965,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,29,164.2,89.424947,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,28,167.4,89.995034,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,178.1,89.667406,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,29,175.2,88.096062,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,164.8,106.509947,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,170.1,96.710735,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,171.0,95.032177,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,169.9,98.572753,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,170.5,99.873716,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,161.3,82.193405,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,160.5,82.039,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,25,175.8,112.089022,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,19,180.4,104.40682,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,162.4,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,20,173.8,93.890682,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,26,182.4,105.800158,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,183.0,105.436173,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,169.0,96.366777,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,19,170.0,99.204695,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,183.0,105.479313,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,184.5,105.025808,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,181.2,106.042142,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,29,158.1,79.713492,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,26,182.4,105.131956,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,163.4,82.414477,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,179.8,103.705418,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,160.5,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,20,183.7,105.257543,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,165.5,94.790579,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,170.2,95.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,26,156.0,78.435904,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,159.7,80.726195,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,25,162.1,81.718232,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,29,168.3,89.991671,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,177.4,105.000789,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,193.0,118.560509,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,165.0,84.134712,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,161.1,84.191125,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,166.9,85.568385,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,194.7,116.893105,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,166.9,86.002736,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,165.0,89.139209,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,165.0,88.026943,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,173.3,98.44113,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,172.8,97.959899,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,162.7,82.410189,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,161.3,82.636162,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,162.1,82.283185,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,162.8,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,25,163.9,91.267087,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,165.0,88.129437,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,165.8,90.0,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,163.5,82.628,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,162.8,84.49798,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,176.3,105.000097,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,175.5,105.000706,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,22,160.6,82.470375,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,163.2,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,29,168.2,90.0,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,157.7,78.0,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,178.4,105.000276,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,162.8,82.967937,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,179.0,105.042194,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,179.9,106.528811,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,172.3,92.949254,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,24,158.7,79.109029,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,168.2,90.671871,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,185.6,118.183797,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,19,185.5,112.875283,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,162.3,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,182.0,106.048516,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,163.2,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,20,194.3,121.657979,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,19,170.3,98.296651,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,175.0,95.324282,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,169.4,99.530971,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,175.3,95.269089,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,170.2,97.971598,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,165.0,88.126544,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,165.0,87.676154,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,29,166.7,89.048151,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,197.6,120.702935,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,29,177.0,108.602715,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,173.6,93.429205,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,170.0,95.564428,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,172.3,94.094184,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,176.9,97.449743,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,176.1,97.829344,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,160.8,82.954796,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,163.0,83.1011,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,170.3,93.638318,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,162.8,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,170.2,95.0,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,172.4,94.743892,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,183.7,105.712219,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,26,158.6,80.351263,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,162.1,82.0,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,160.8,82.603984,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,173.3,97.911865,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,165.0,88.472359,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,177.6,103.605896,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,177.2,105.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,178.1,102.950929,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,158.2,78.089575,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,27,167.3,90.0,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,23,165.0,87.272552,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,164.4,84.340406,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,173.4,95.0,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,177.6,97.813023,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,165.7,90.0,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,156.3,80.535698,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,22,164.0,87.344156,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,172.9,82.52724,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,174.7,96.875502,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,171.9,80.790813,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,160.0,73.513873,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,19,155.0,72.9518,sangat_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,171.3,82.085549,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,168.1,79.621463,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,187.2,115.627554,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,179.3,105.619143,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,155.0,69.936073,agak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,180.3,105.686091,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,27,183.5,99.083478,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,172.5,82.27635,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,178.9,89.393589,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,171.7,85.261339,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,24,158.9,80.553067,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Perempuan,23,157.2,78.997166,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,22,174.1,96.738014,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,170.6,78.025625,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,20,170.1,78.048207,aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,175.3,107.998815,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,166.0,94.189167,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,166.9,94.454394,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,166.5,94.256547,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,168.0,91.068054,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,24,165.4,91.204753,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,181.5,107.55963,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,21,179.3,105.655037,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,26,177.7,106.452367,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,23,175.1,95.285898,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,19,165.0,82.01831,tidak_aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,23,175.4,106.49141,agak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,21,164.1,88.079177,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,21,178.1,103.189532,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Laki-laki,22,182.0,106.038468,tidak_aktif,Turun_BB,2650.0,65.0,75.0,430.0
Perempuan,22,164.5,88.119139,aktif,Turun_BB,2250.0,60.0,65.0,360.0
Laki-laki,24,177.7,97.842406,sangat_aktif,Turun_BB,2650.0,65.0,75.0,430.0
